start_ip,end_ip,asn,name,domain
13.107.141.0,13.107.253.255,AS8075,Microsoft Corporation,microsoft.com
13.107.254.0,13.107.254.255,AS8068,Microsoft Corporation,microsoft.com
13.107.255.0,13.107.255.255,AS8075,Microsoft Corporation,microsoft.com
13.108.0.0,13.111.255.255,AS14340,"Salesforce.com, Inc.",salesforce.com
13.112.0.0,13.115.255.255,AS16509,"Amazon.com, Inc.",amazon.com
13.116.64.0,13.116.127.255,AS36351,SoftLayer Technologies Inc.,softlayer.com
13.120.64.0,13.120.127.255,AS36351,SoftLayer Technologies Inc.,softlayer.com
13.121.64.0,13.121.127.255,AS36351,SoftLayer Technologies Inc.,softlayer.com
13.122.64.0,13.122.127.255,AS36351,SoftLayer Technologies Inc.,softlayer.com
13.124.0.0,13.127.255.255,AS16509,"Amazon.com, Inc.",amazon.com
13.200.0.0,13.203.255.255,AS16509,"Amazon.com, Inc.",amazon.com
13.208.0.0,13.215.255.255,AS16509,"Amazon.com, Inc.",amazon.com
13.216.0.0,13.223.255.255,AS14618,"Amazon.com, Inc.",amazon.com
13.224.0.0,13.224.15.255,AS16509,"Amazon.com, Inc.",amazon.com
13.224.25.0,13.224.103.255,AS16509,"Amazon.com, Inc.",amazon.com
13.224.105.0,13.224.167.255,AS16509,"Amazon.com, Inc.",amazon.com
13.224.185.0,13.225.7.255,AS16509,"Amazon.com, Inc.",amazon.com
13.225.9.0,13.225.15.255,AS16509,"Amazon.com, Inc.",amazon.com
13.225.41.0,13.225.88.255,AS16509,"Amazon.com, Inc.",amazon.com
13.225.105.0,13.225.119.255,AS16509,"Amazon.com, Inc.",amazon.com
13.225.121.0,13.225.135.255,AS16509,"Amazon.com, Inc.",amazon.com
13.225.137.0,13.225.152.255,AS16509,"Amazon.com, Inc.",amazon.com
13.225.169.0,13.225.184.255,AS16509,"Amazon.com, Inc.",amazon.com
13.225.200.0,13.225.232.255,AS16509,"Amazon.com, Inc.",amazon.com
13.225.240.0,13.225.247.255,AS16509,"Amazon.com, Inc.",amazon.com
13.225.249.0,13.226.7.255,AS16509,"Amazon.com, Inc.",amazon.com
13.226.9.0,13.226.71.255,AS16509,"Amazon.com, Inc.",amazon.com
13.226.73.0,13.226.73.255,AS16509,"Amazon.com, Inc.",amazon.com
13.226.77.0,13.226.79.255,AS16509,"Amazon.com, Inc.",amazon.com
13.226.84.0,13.226.84.255,AS16509,"Amazon.com, Inc.",amazon.com
13.226.86.0,13.226.103.255,AS16509,"Amazon.com, Inc.",amazon.com
13.226.112.0,13.226.115.255,AS16509,"Amazon.com, Inc.",amazon.com
13.226.120.0,13.226.127.255,AS16509,"Amazon.com, Inc.",amazon.com
13.226.148.0,13.226.151.255,AS16509,"Amazon.com, Inc.",amazon.com
13.226.160.0,13.226.211.255,AS16509,"Amazon.com, Inc.",amazon.com
13.226.216.0,13.226.223.255,AS16509,"Amazon.com, Inc.",amazon.com
13.226.228.0,13.226.231.255,AS16509,"Amazon.com, Inc.",amazon.com
13.226.240.0,13.226.255.255,AS16509,"Amazon.com, Inc.",amazon.com
13.227.5.0,13.227.7.255,AS16509,"Amazon.com, Inc.",amazon.com
13.227.16.0,13.227.19.255,AS16509,"Amazon.com, Inc.",amazon.com
13.227.21.0,13.227.83.255,AS16509,"Amazon.com, Inc.",amazon.com
13.227.85.0,13.227.147.255,AS16509,"Amazon.com, Inc.",amazon.com
13.227.152.0,13.227.159.255,AS16509,"Amazon.com, Inc.",amazon.com
13.227.180.0,13.227.183.255,AS16509,"Amazon.com, Inc.",amazon.com
13.227.192.0,13.227.195.255,AS16509,"Amazon.com, Inc.",amazon.com
13.227.197.0,13.227.211.255,AS16509,"Amazon.com, Inc.",amazon.com
13.227.213.0,13.227.213.255,AS16509,"Amazon.com, Inc.",amazon.com
13.227.216.0,13.227.223.255,AS16509,"Amazon.com, Inc.",amazon.com
13.227.228.0,13.227.228.255,AS16509,"Amazon.com, Inc.",amazon.com
13.227.230.0,13.227.231.255,AS16509,"Amazon.com, Inc.",amazon.com
13.227.240.0,13.227.243.255,AS16509,"Amazon.com, Inc.",amazon.com
13.227.245.0,13.227.245.255,AS16509,"Amazon.com, Inc.",amazon.com
13.227.248.0,13.239.255.255,AS16509,"Amazon.com, Inc.",amazon.com
13.244.0.0,13.248.55.255,AS16509,"Amazon.com, Inc.",amazon.com
13.248.60.0,13.248.78.255,AS16509,"Amazon.com, Inc.",amazon.com
13.248.96.0,13.249.127.255,AS16509,"Amazon.com, Inc.",amazon.com
13.249.129.0,13.249.129.255,AS16509,"Amazon.com, Inc.",amazon.com
13.249.144.0,13.249.208.255,AS16509,"Amazon.com, Inc.",amazon.com
13.249.210.0,13.249.223.255,AS16509,"Amazon.com, Inc.",amazon.com
13.249.225.0,13.249.225.255,AS16509,"Amazon.com, Inc.",amazon.com
13.249.241.0,13.249.243.255,AS16509,"Amazon.com, Inc.",amazon.com
13.249.245.0,13.251.255.255,AS16509,"Amazon.com, Inc.",amazon.com
14.0.8.0,14.0.11.255,AS55391,INTERNET MULTIFEED CO.,mfeed.ad.jp
14.0.16.0,14.0.31.255,AS24088,Hanoi Telecom Joint Stock Company - HCMC Branch,hitc.vn
14.0.32.0,14.0.50.255,AS54994,Meteverse Limited.,meteversecloud.com
14.0.51.0,14.0.51.255,AS36408,CDNetworks Inc.,cdnetworks.com
14.0.52.0,14.0.63.255,AS54994,Meteverse Limited.,meteversecloud.com
14.0.64.0,14.0.78.255,AS38107,CDNetworks,cdnetworks.com
14.0.79.0,14.0.79.255,AS54994,Meteverse Limited.,meteversecloud.com
14.0.80.0,14.0.112.255,AS38107,CDNetworks,cdnetworks.com
14.0.113.0,14.0.118.255,AS54994,Meteverse Limited.,meteversecloud.com
14.0.119.0,14.0.119.255,AS38107,CDNetworks,cdnetworks.com
14.0.120.0,14.0.127.255,AS54994,Meteverse Limited.,meteversecloud.com
14.0.128.0,14.0.255.255,AS38819,HKCSL GPRS NETWORK,hkcsl.com
14.1.4.0,14.1.7.255,AS55392,INTERNET MULTIFEED CO.,mfeed.ad.jp
14.1.8.0,14.1.15.255,AS10000,Nagasaki Cable Media Inc.,cncm.ne.jp
